Name,Ingredients,Diet,Preparation_Time,Cooking_Time,Flavor,Course_Name,State,Region
Balu shahi,"Maida flour, yogurt, oil, sugar",Vegetarian,45,25,Sweet,Dessert,West Bengal,East
Boondi,"Gram flour, ghee, sugar",Vegetarian,80,30,Sweet,Dessert,Rajasthan,West
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",Vegetarian,15,60,Sweet,Dessert,Punjab,North
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",Vegetarian,15,30,Sweet,Dessert,Rajasthan,West
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",Vegetarian,15,40,Sweet,Dessert,West Bengal,East
Imarti,"Sugar syrup, lentil flour",Vegetarian,10,50,Sweet,Dessert,West Bengal,East
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",Vegetarian,10,50,Sweet,Dessert,Uttar Pradesh,North
Kaju katli,"Cashews, ghee, cardamom, sugar",Vegetarian,10,20,Sweet,Dessert,Meghalaya,North East
Kalakand,"Milk, cottage cheese, sugar",Vegetarian,20,30,Sweet,Dessert,West Bengal,East
Kheer,"Milk, rice, sugar, dried fruits",Vegetarian,10,40,Sweet,Dessert,Meghalaya,North East
Laddu,"Gram flour, ghee, sugar",Vegetarian,10,40,Sweet,Dessert,Meghalaya,North East
Lassi,"Yogurt, milk, nuts, sugar",Vegetarian,5,5,Sweet,Dessert,Punjab,North
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",Vegetarian,20,30,Sweet,Dessert,Meghalaya,North East
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",Vegetarian,10,30,Sweet,Dessert,Uttar Pradesh,North
Phirni,"Rice, sugar, nuts",Vegetarian,30,20,Sweet,Dessert,Odisha,East
Rabri,"Condensed milk, sugar, spices, nuts",Vegetarian,10,45,Sweet,Dessert,Uttar Pradesh,North
Sheera,"Semolina, ghee, nuts, milk",Vegetarian,10,25,Sweet,Dessert,Maharashtra,West
Singori,"Khoa, coconut, molu leaf",Vegetarian,10,20,Sweet,Dessert,Uttarakhand,North
Sohan halwa,"Corn flour, ghee, dry fruits",Vegetarian,10,60,Sweet,Dessert,Uttar Pradesh,North
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",Vegetarian,20,60,Sweet,Dessert,Maharashtra,West
Chhena jalebi,"Chhena, sugar, ghee",Vegetarian,10,50,Sweet,Dessert,Odisha,East
Chhena kheeri,"Chhena, sugar, milk",Vegetarian,20,60,Sweet,Dessert,Odisha,East
Chhena poda,"Sugar, chenna cheese",Vegetarian,10,45,Sweet,Dessert,Odisha,East
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",Vegetarian,40,60,Sweet,Dessert,West Bengal,East
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",Vegetarian,25,60,Sweet,Dessert,Odisha,East
Ledikeni,"Chhena, sugar, ghee",Vegetarian,45,45,Sweet,Dessert,West Bengal,East
Lyangcha,"Flour, fried milk power, sugar syrup",Vegetarian,20,30,Sweet,Dessert,Assam,North East
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",Vegetarian,10,120,Sweet,Dessert,Bihar,North
Mihidana,"Besan flour, sugar, ghee",Vegetarian,15,30,Sweet,Dessert,West Bengal,East
Misti doi,"Milk, jaggery",Vegetarian,480,30,Sweet,Dessert,West Bengal,East
Pantua,"Chhena, sugar, ghee, flour",Vegetarian,45,45,Sweet,Dessert,West Bengal,East
Pithe,"Rice flour, wheat flour",Vegetarian,15,35,Sweet,Dessert,Assam,North East
Rasabali,"Chenna, sweetened milk",Vegetarian,15,30,Sweet,Dessert,Odisha,East
Ras malai,"Chhena, reduced milk, pistachio",Vegetarian,180,60,Sweet,Dessert,West Bengal,East
Rasgulla,"Chhena, sugar, cardamom",Vegetarian,10,90,Sweet,Dessert,West Bengal,East
Sandesh,"Milk, sugar, saffron, cardamom",Vegetarian,30,20,Sweet,Dessert,West Bengal,East
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",Vegetarian,10,50,Sweet,Dessert,West Bengal,East
Ariselu,"Rice flour, jaggery, ghee",Vegetarian,15,75,Sweet,Dessert,Andhra Pradesh,South
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",Vegetarian,5,35,Sweet,Dessert,Andhra Pradesh,South
Chikki,"Peanuts, jaggery",Vegetarian,10,20,Sweet,Dessert,Maharashtra,West
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",Vegetarian,20,60,Sweet,Dessert,Karnataka,South
Double ka meetha,"Loaf bread, milk",Vegetarian,20,30,Sweet,Dessert,Telangana,South
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",Vegetarian,10,30,Sweet,Dessert,Andhra Pradesh,South
Kakinada khaja,"Wheat flour, sugar",Vegetarian,10,30,Sweet,Dessert,Andhra Pradesh,South
Kuzhi paniyaram,"Black lentils, rice",Vegetarian,10,20,Sweet,Dessert,Kerala,South
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",Vegetarian,5,20,Sweet,Dessert,Karnataka,South
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",Vegetarian,180,60,Sweet,Main Course,Karnataka,South
Palathalikalu,"Rice flour, milk",Vegetarian,10,25,Sweet,Dessert,Andhra Pradesh,South
Poornalu,"Chana dal, jaggery",Vegetarian,240,60,Sweet,Dessert,Andhra Pradesh,South
Pongal,"Rice, jaggery, cashews, ghee",Vegetarian,5,20,Sweet,Dessert,Tamil Nadu,South
Pootharekulu,"Rice flour, powdered sugar, ghee",Vegetarian,10,60,Sweet,Dessert,Andhra Pradesh,South
Qubani ka meetha,"Apricots, sugar syrup",Vegetarian,10,20,Sweet,Dessert,Telangana,South
Sheer korma,"Vermicelli pudding, milk",Vegetarian,10,20,Sweet,Dessert,Telangana,South
Unni Appam,"Rice flour, banana, jaggery, coconut",Vegetarian,10,20,Sweet,Dessert,Tamil Nadu,South
Kajjikaya,"Rice flour, jaggery, coconut",Vegetarian,40,15,Sweet,Dessert,Andhra Pradesh,South
Anarsa,"Rice flour, jaggery, khus-khus seeds",Vegetarian,10,50,Sweet,Dessert,Maharashtra,West
Basundi,"Sugar, milk, nuts",Vegetarian,10,35,Sweet,Dessert,Gujarat,West
Dhondas,"Cucumber, rava",Vegetarian,10,50,Sweet,Dessert,Maharashtra,West
Doodhpak,"Milk, rice, sugar, dry fruits",Vegetarian,10,60,Sweet,Dessert,Gujarat,West
Mahim halwa,"Semolina, sugar",Vegetarian,10,25,Sweet,Dessert,Maharashtra,West
Modak,"Rice flour, coconut, jaggery ",Vegetarian,10,15,Sweet,Dessert,Maharashtra,West
Shankarpali,"Sugar, ghee, maida flour, semolina",Vegetarian,10,35,Sweet,Dessert,Maharashtra,West
Shrikhand,"Curd, sugar, saffron, cardamom",Vegetarian,10,720,Sweet,Dessert,Maharashtra,West
Sutar feni,"Maida, sugar, ghee",Vegetarian,15,55,Sweet,Dessert,Maharashtra,West
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",Non-Vegetarian,10,40,Spicy,Main Course,Assam,North East
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",Non-Vegetarian,20,30,Spicy,Main Course,Tripura,North East
Chak Hao Kheer,"Rice, milk, sugar, cardamom",Vegetarian,240,45,Sweet,Dessert,Manipur,North East
Galho,"Rice, axone, salt, water, chillies, pork",Non-Vegetarian,5,15,Spicy,Main Course,Nagaland,North East
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",Vegetarian,10,20,Spicy,Main Course,Punjab,North
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",Vegetarian,5,20,Spicy,Main Course,Punjab,North
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",Vegetarian,5,40,Spicy,Main Course,Punjab,North
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",Vegetarian,10,40,Bitter,Main Course,Punjab,North
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",Vegetarian,10,40,Spicy,Main Course,Punjab,North
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",Vegetarian,20,20,Spicy,Main Course,Punjab,North
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",Vegetarian,20,30,Spicy,Main Course,Punjab,North
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",Non-Vegetarian,30,120,Spicy,Main Course,Telangana,South
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",Non-Vegetarian,10,35,Spicy,Main Course,Delhi,North
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",Vegetarian,20,30,Spicy,Main Course,Punjab,North
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",Vegetarian,10,10,Normal,Main Course,Maharashtra,West
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",Non-Vegetarian,10,35,Spicy,Main Course,West Bengal,East
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",Non-Vegetarian,10,50,Spicy,Main Course,Punjab,North
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",Non-Vegetarian,120,45,Spicy,Starter,Punjab,North
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",Vegetarian,20,30,Spicy,Main Course,Punjab,North
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",Vegetarian,10,90,Spicy,Main Course,Rajasthan,West
